type,year,url
minutes,2013,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2013/05022013.html
minutes,2013,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2013/05032013.html
minutes,2013,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2013/05112013.html
minutes,2013,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2013/06082013.html
minutes,2013,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2013/07052013.html
minutes,2014,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2014/01042014.html
minutes,2014,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2014/01072014.html
minutes,2014,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2014/02092014.html
minutes,2014,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2014/02122014.html
minutes,2014,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2014/03062014.html
minutes,2014,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2014/04022014.html
minutes,2014,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2014/04032014.html
minutes,2014,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2014/04112014.html
minutes,2014,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2014/05082014.html
minutes,2014,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2014/06052014.html
minutes,2014,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2014/07102014.html
minutes,2015,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2015/2015-02-03.html
minutes,2015,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2015/2015-03-03.html
minutes,2015,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2015/2015-04-07.html
minutes,2015,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2015/2015-05-05.html
minutes,2015,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2015/2015-06-02.html
minutes,2015,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2015/2015-07-07.html
minutes,2015,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2015/2015-08-04.html
minutes,2015,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2015/2015-09-01.html
minutes,2015,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2015/2015-10-06.html
minutes,2015,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2015/2015-11-03.html
minutes,2015,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2015/2015-12-01.html
minutes,2016,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2016/2016-02-02.html
minutes,2016,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2016/2016-03-01.html
minutes,2016,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2016/2016-04-05.html
minutes,2016,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2016/2016-05-03.html
minutes,2016,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2016/2016-06-07.html
minutes,2016,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2016/2016-07-05.html
minutes,2016,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2016/2016-08-02.html
minutes,2016,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2016/2016-09-06.html
minutes,2016,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2016/2016-10-04.html
minutes,2016,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2016/2016-11-01.html
minutes,2016,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2016/2016-12-06.html
minutes,2017,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2017/2017-02-07.html
minutes,2017,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2017/2017-03-07.html
minutes,2017,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2017/2017-04-04.html
minutes,2017,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2017/2017-05-02.html
minutes,2017,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2017/2017-06-06.html
minutes,2017,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2017/2017-07-04.html
minutes,2017,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2017/2017-08-01.html
minutes,2017,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2017/2017-09-05.html
minutes,2017,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2017/2017-10-03.html
minutes,2017,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2017/2017-11-07.html
minutes,2017,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2017/2017-12-05.html
minutes,2018,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2018/2018-02-06.html
minutes,2018,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2018/2018-03-06.html
minutes,2018,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2018/2018-04-03.html
minutes,2018,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2018/2018-05-01.html
minutes,2018,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2018/2018-06-05.html
minutes,2018,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2018/2018-07-03.html
minutes,2018,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2018/2018-08-07.html
minutes,2018,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2018/2018-09-04.html
minutes,2018,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2018/2018-10-02.html
minutes,2018,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2018/2018-11-06.html
minutes,2018,https://www.rba.gov.au/monetary-policy/rba-board-minutes/2018/2018-12-04.html
